Date : 2021-01-18 15:06:43
Directory : c:\Users\phil\Documents\Arduino\libraries\H4Plugins
Total : 183 files,  11871 codes, 3489 comments, 2774 blanks, all 18134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        135 |      6,990 |      3,439 |      1,225 |     11,654 |
| Markdown           |         30 |      3,062 |          0 |      1,510 |      4,572 |
| JSON               |          2 |      1,216 |          0 |          2 |      1,218 |
| JavaScript         |          3 |        238 |          5 |         24 |        267 |
| CSS                |          1 |        140 |          0 |          4 |        144 |
| XML                |          3 |         75 |          0 |          2 |         77 |
| HTML               |          1 |         53 |         33 |          2 |         88 |
| REG                |          1 |         35 |          0 |          0 |         35 |
| JSON with Comments |          2 |         28 |          0 |          0 |         28 |
| Batch              |          2 |         12 |          0 |          2 |         14 |
| Properties         |          1 |         10 |          0 |          1 |         11 |
| Visual Basic       |          1 |          6 |          0 |          1 |          7 |
| PowerShell         |          1 |          6 |         12 |          1 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        183 |     11,871 |      3,489 |      2,774 |     18,134 |
| src                                                                                                                           |         62 |      5,431 |      2,112 |        825 |      8,368 |
| examples                                                                                                                      |         80 |      2,940 |      1,284 |        418 |      4,642 |
| docs                                                                                                                          |         28 |      2,820 |          0 |      1,393 |      4,213 |
| examples\LOGGING                                                                                                              |         11 |      1,454 |          6 |         55 |      1,515 |
| examples\LOGGING\H4P_HttpMySQLLogger                                                                                          |          7 |      1,399 |          5 |         38 |      1,442 |
| examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest                                                                                |          6 |      1,388 |          5 |         34 |      1,427 |
| data                                                                                                                          |          6 |        398 |         33 |         21 |        452 |
| examples\GPIO                                                                                                                 |         22 |        376 |        842 |        110 |      1,328 |
| examples\THINGS                                                                                                               |          9 |        197 |         71 |         50 |        318 |
| examples\TIME                                                                                                                 |          4 |        140 |         68 |         56 |        264 |
| examples\MUSIC                                                                                                                |          4 |        135 |         17 |         21 |        173 |
| examples\XTRAS                                                                                                                |          7 |        128 |         44 |         25 |        197 |
| examples\MQTT                                                                                                                 |          4 |        124 |         87 |         27 |        238 |
| examples\WEBUI                                                                                                                |          4 |        122 |         13 |         25 |        160 |
| examples\DIAGNOSTICS                                                                                                          |          4 |        102 |         54 |         14 |        170 |
| examples\BASICS                                                                                                               |          4 |         90 |         61 |         15 |        166 |
| examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\routes                                                                         |          1 |         89 |          1 |          7 |         97 |
| examples\TIME\ClockNTP                                                                                                        |          1 |         65 |         38 |         38 |        141 |
| examples\WEBUI\WebUI_InputFields                                                                                              |          1 |         59 |          5 |         10 |         74 |
| assets                                                                                                                        |          2 |         54 |         60 |         18 |        132 |
| examples\MUSIC\H4P_TakeOnMe                                                                                                   |          1 |         48 |          6 |          7 |         61 |
| examples\GPIO\H4GM_Multistage                                                                                                 |          1 |         46 |         45 |          6 |         97 |
| examples\XTRAS\Generic_SQUAWK                                                                                                 |          1 |         44 |          8 |          7 |         59 |
| examples\THINGS\H4P_Generic_SQUAWK                                                                                            |          1 |         44 |          8 |          7 |         59 |
| examples\FLASHER                                                                                                              |          3 |         43 |         20 |         12 |         75 |
| examples\DIAGNOSTICS\H4P_TaskSniffer                                                                                          |          1 |         41 |         31 |          4 |         76 |
| examples\THINGS\SQUAWK                                                                                                        |          1 |         40 |         17 |         12 |         69 |
| examples\MQTT\H4P_MQTT_Wildcards                                                                                              |          1 |         36 |         39 |          5 |         80 |
| examples\BASICS\H4_TaskNames                                                                                                  |          1 |         36 |         22 |          4 |         62 |
| examples\WEBUI\WebUI_StaticFields                                                                                             |          1 |         34 |          1 |          8 |         43 |
| examples\MUSIC\H4P_Simple_Tones                                                                                               |          1 |         34 |          0 |          5 |         39 |
| examples\TIME\H4P_Timekeeper                                                                                                  |          1 |         33 |         15 |          7 |         55 |
| examples\MQTT\H4P_MQTT_Subtopics                                                                                              |          1 |         33 |         19 |          7 |         59 |
| examples\DIAGNOSTICS\H4P_QueueWarn                                                                                            |          1 |         32 |         13 |          4 |         49 |
| examples\TIME\H4P_OLED_NTP_CLOCK                                                                                              |          1 |         30 |         15 |          8 |         53 |
| examples\PRESENCE                                                                                                             |          4 |         29 |          1 |          8 |         38 |
| examples\MQTT\H4P_MQTT_CustomLWT                                                                                              |          1 |         28 |         15 |          7 |         50 |
| examples\THINGS\H4P_BinarySwitchMQTT                                                                                          |          1 |         28 |         16 |          5 |         49 |
| examples\MUSIC\H4P_GymnopedieNo1                                                                                              |          1 |         27 |          3 |          6 |         36 |
| examples\MQTT\H4P_MQTT_Simple                                                                                                 |          1 |         27 |         14 |          8 |         49 |
| examples\WEBUI\WebUI_DynamicFields                                                                                            |          1 |         26 |          7 |          6 |         39 |
| examples\MUSIC\H4P_Sirens                                                                                                     |          1 |         26 |          8 |          3 |         37 |
| examples\THINGS\H4P_BinarySwitchMfnb                                                                                          |          1 |         25 |         11 |          4 |         40 |
| examples\GPIO\H4GM_Repeating                                                                                                  |          1 |         24 |         41 |          6 |         71 |
| examples\BASICS\H4P_PersistentStorage                                                                                         |          1 |         23 |          0 |          4 |         27 |
| examples\DIAGNOSTICS\H4P_HeapWarn                                                                                             |          1 |         23 |         10 |          4 |         37 |
| examples\LOGGING\H4P_MQTTLogger                                                                                               |          1 |         20 |          0 |          5 |         25 |
| examples\GPIO\H4GM_Timed                                                                                                      |          1 |         20 |         38 |          6 |         64 |
| examples\LOGGING\H4P_CustomLogger                                                                                             |          1 |         20 |          1 |          7 |         28 |
| examples\XTRAS\H4P_ESWProfiler                                                                                                |          1 |         19 |          1 |          7 |         27 |
| examples\XTRAS\H4P_ESWSimple                                                                                                  |          1 |         18 |          2 |          7 |         27 |
| examples\FLASHER\H4FC_Basic                                                                                                   |          1 |         18 |          5 |          5 |         28 |
| examples\GPIO\H4GM_Retriggering                                                                                               |          1 |         18 |         38 |          6 |         62 |
| examples\GPIO\H4GM_Encoder                                                                                                    |          1 |         18 |         38 |          3 |         59 |
| examples\GPIO\H4GM_Filtered                                                                                                   |          1 |         18 |         34 |          6 |         58 |
| examples\THINGS\H4P_ConditionalThing                                                                                          |          1 |         17 |          0 |          7 |         24 |
| examples\BASICS\H4P_CmdErrors                                                                                                 |          1 |         17 |         21 |          5 |         43 |
| examples\GPIO\H4GM_Raw                                                                                                        |          1 |         17 |         36 |          5 |         58 |
| examples\GPIO\H4GM_Latching                                                                                                   |          1 |         17 |         39 |          6 |         62 |
